numb,edgeA,edgeB
395,3016,2822
396,3016,1301
397,3016,583
398,3016,2569
399,3016,995
400,3016,1813
401,3016,1071
402,3016,3096
403,3016,2239
404,3016,3151
405,3016,2224
406,3016,247
407,3016,1538
408,3016,966
409,3016,585
410,3016,168
411,3016,1163
412,3016,1745
413,3016,257
414,3016,2486
415,3016,2808
416,3016,2638
417,3016,2580
418,3016,2710
419,3016,2042
420,3016,621
421,3016,3173
422,3016,638
423,3016,3190
424,3016,509
425,3016,1574
426,3016,490
427,3016,1721
428,3016,1091
429,3016,3068
430,3016,1531
431,3016,978
432,3016,1098
433,3016,2992
434,3016,1738
435,3016,2317
436,3016,1768
437,3016,2713
438,3016,1837
439,3016,1669
440,3016,1081
441,3016,599
442,3016,3177
443,3016,1851
444,3016,2997
445,3016,84
446,3016,1986
447,3016,2162
448,3016,3020
449,3016,171
450,3016,2432
451,3016,2075
452,3016,2390
453,3016,1190
454,3016,571
455,3016,1243
456,3016,1069
457,3016,3161
458,3016,2545
459,3016,496
460,3016,3174
461,3016,1360
462,3016,1374
463,3016,1868
464,3016,1629
465,3016,623
466,3016,2778
467,3016,2446
468,3016,2054
469,3016,2223
470,3016,2664
471,3016,493
472,3016,2723
473,3016,2928
474,3016,1314
475,3016,1667
476,3016,1668
477,3016,369
478,3016,1916
479,3016,1945
480,3016,2197
481,3016,3132
482,3016,3075
483,3016,2253
484,3016,1214
485,3016,2575
486,3016,2820
487,3016,2954
488,3016,1355
489,3016,1416
490,3016,2985
491,3016,1998
492,3016,440
493,3016,1418
494,3016,3007
495,3016,462
496,3016,1185
497,3016,374
498,2565,2391
499,2565,741
500,950,1876
501,950,1009
502,1796,2371
503,1796,1019
504,1796,1773
505,1796,891
506,1796,102
507,1796,1648
508,1796,1154
509,1796,54
510,1796,1838
511,1796,3080
512,1796,613
513,1796,1312
514,1796,2990
515,1796,819
516,1796,1877
517,1796,1073
518,1796,280
519,1796,1844
520,1796,2145
521,1796,123
522,1796,1011
523,1796,1609
524,1796,117
525,1796,141
526,1796,20
527,1796,417
528,1796,1707
529,1796,1334
530,1796,2350
531,1796,2669
532,2269,1683
533,2269,2397
534,2269,1750
535,1867,142
536,1867,178
537,1867,1631
538,1867,1885
539,1867,1770
540,1867,970
541,1867,2589
542,1867,1178
543,1867,1472
544,1867,2804
545,1867,3041
546,1867,64
547,1867,1040
548,1867,500
549,1867,2312
550,1867,2398
551,1867,38
552,1867,537
553,1867,268
554,1867,3054
555,1867,1922
556,1867,1059
557,1867,1346
558,1867,1289
559,1867,467
560,1867,3081
561,1867,39
562,709,432
563,709,1746
564,1409,422
565,1409,1353
566,993,2586
567,993,953
568,993,1790
569,993,1602
570,993,2426
571,1613,2064
572,1613,2707
573,1613,920
574,1613,1433
575,1613,2469
576,1613,1888
577,1613,3119
578,1613,2878
579,1613,218
580,1613,776
581,1613,581
582,1613,3168
583,1613,1820
584,1613,74
585,1613,1582
586,1613,1951
587,1613,1516
588,1613,1343
589,1613,899
590,1613,1199
591,1613,197
592,881,5
593,2854,1671
594,2854,2924
595,2854,2314
596,2854,2417
597,2563,318
598,2563,1133
599,2563,682
600,2563,1495
601,2563,716
602,2563,2193
603,2563,1611
604,2563,3070
605,2563,49
606,2563,2150
607,2563,3082
608,2563,1870
609,2563,1822
610,2563,1462
611,2563,2718
612,2563,3147
613,2563,2986
614,2563,448
615,2563,2520
616,2563,2752
617,2563,2507
618,2563,11
619,2563,3146
620,2563,1578
621,2563,220
622,2563,957
623,2563,1587
624,2563,1522
625,2563,2407
626,2563,1785
627,2563,1544
628,2563,2855
629,2563,3158
630,2563,2055
631,2563,868
632,15,880
633,15,1033
634,15,2805
635,15,1597
636,15,3093
637,15,60
638,15,914
639,15,815
640,15,339
641,15,2536
642,15,842
643,15,1379
644,15,2866
645,1536,1929
646,1536,2951
647,1536,2629
648,1487,282
649,1034,475
650,1034,2314
651,3194,307
652,1299,2345
653,1299,1959
654,1299,2281
655,1245,715
656,1245,666
657,2937,572
658,2937,940
659,2434,2711
660,2434,1157
661,2172,1930
662,2172,1221
663,2172,1763
664,2172,2939
665,2172,730
666,2172,2974
667,2172,2208
668,2172,1673
669,2172,1890
670,2172,1784
671,2172,1570
672,2172,2680
673,2172,1537
674,2172,521
675,2172,3035
676,2172,538
677,2172,553
678,2172,1461
679,2172,1057
680,2172,2198
681,2172,2222
682,2172,557
683,2172,1573
684,2840,359
685,1304,2534
686,1304,905
687,1304,2417
688,516,1039
689,516,1786
690,516,2498
691,2604,3082
692,727,1950
693,727,1434
694,727,736
695,727,346
696,727,2134
697,727,2715
698,2315,1072
699,2315,3159
700,2315,1475
701,2315,2213
702,2315,2086
703,2315,669
704,2315,2959
705,2579,190
706,2579,601
707,2579,2598
708,2579,2758
709,2349,350
710,2349,1019
711,2289,1990
712,2289,1734
713,1642,1060
714,388,1613
715,388,2658
716,2960,2588
717,2960,2268
718,2960,3167
719,2960,1913
720,2960,1484
721,2018,1347
722,2018,1614
723,2018,3033
724,2095,712
725,2095,1401
726,1650,2819
727,1650,428
728,1650,2933
729,1650,549
730,1650,2401
731,1650,2026
732,1650,3133
733,1650,1008
734,1650,205
735,1650,3077
736,1650,1249
737,1650,2203
738,1650,633
739,1650,594
740,2227,1088
741,835,648
742,835,681
743,835,1834
744,835,1212
745,835,2554
746,835,2780
747,835,2720
748,835,2841
749,835,2056
750,835,2916
751,1078,656
752,592,2861
753,592,736
754,592,909
755,592,58
756,2800,1019
757,2799,1556
758,589,1613
759,589,1830
760,318,2571
761,1586,1613
762,2440,1019
763,2440,2615
764,2440,866
765,2440,2880
766,393,2031
767,345,3018
768,1072,2578
769,1072,597
770,1072,2406
771,1072,2661
772,1072,487
773,1072,152
774,1072,2464
775,1072,781
776,1072,1310
777,1072,1183
778,1072,1440
779,1072,1380
780,1072,2867
781,1072,1705
782,1072,2952
783,1072,358
784,1072,2583
785,359,3175
786,359,661
787,359,1891
788,359,1210
789,359,3052
790,359,886
791,359,1012
792,359,395
793,797,825
794,1195,316
795,2361,289
796,1468,2026
797,1468,2996
798,3039,69
799,454,1483
800,454,1866
801,454,77
802,454,2109
803,454,1680
804,454,1500
805,454,1787
806,454,2089
807,454,974
808,454,627
809,454,192
810,454,2196
811,454,2033
812,454,2843
813,454,522
814,454,2908
815,454,2088
816,2946,1019
817,2946,3191
818,1958,1459
819,1305,895
820,1305,2525
821,598,738
822,598,2219
823,598,2534
824,598,412
825,2942,2501
826,2942,1076
827,2942,1523
828,2942,1030
829,2942,1661
830,2942,3106
831,2942,78
832,745,685
833,745,2777
834,745,973
835,745,749
836,745,302
837,745,1708
838,745,2024
839,745,670
840,745,1941
841,278,1459
842,278,2971
843,278,3133
844,278,526
845,278,1274
846,278,2861
847,278,2918
848,278,235
849,2002,2501
850,2002,295
851,2002,3028
852,2002,883
853,2002,1140
854,2002,1262
855,2002,1739
856,2002,2262
857,2002,2374
858,2002,3098
859,2002,2039
860,2002,542
861,2002,2508
862,2002,1240
863,2002,1948
864,2002,3157
865,2002,126
866,3175,1459
867,3175,1058
868,3175,30
869,3175,2527
870,3175,2861
871,3175,774
872,3175,715
873,3175,314
874,3175,2143
875,3175,2788
876,3175,498
877,3175,3106
878,3175,512
879,3175,1353
880,3175,2460
881,3175,1944
882,3175,558
883,3175,1504
884,3175,1282
885,646,237
886,646,1288
887,1590,1072
888,1590,637
889,1590,120
890,1858,1454
891,1858,2269
892,1858,2841
893,1858,245
894,1620,987
895,1620,1376
896,231,1487
897,231,1656
898,231,551
899,231,533
900,231,1067
901,231,1956
902,231,154
903,231,2965
904,231,1036
905,231,3042
906,231,2141
907,231,2173
908,231,3136
909,231,2485
910,231,2844
911,428,1822
912,2548,3125
913,2548,687
914,2548,1731
915,850,108
916,850,2014
917,850,3065
918,948,2041
919,948,1671
920,948,435
921,1514,1950
922,1514,3009
923,1495,2343
924,1495,3198
925,1495,1613
926,1495,1362
927,1495,2647
928,1495,210
929,1495,1975
930,1495,647
931,1495,879
932,1495,1987
933,1495,1406
934,2955,319
935,2098,1019
936,147,2208
937,845,2130
938,1254,736
939,2341,1994
940,2341,1391
941,2672,1613
942,688,608
943,688,720
944,165,361
945,165,400
946,165,2379
947,165,1129
948,165,711
949,1382,156
950,1382,378
951,2730,1257
952,2730,784
953,2730,2219
954,2730,2788
955,2730,3165
956,2730,303
957,658,1613
958,658,2611
959,2593,1811
960,2152,1265
961,1263,1468
962,1317,2984
963,1317,1801
964,1317,1394
965,1317,1794
966,1317,630
967,1317,878
968,1317,289
969,1317,445
970,105,1019
971,105,958
972,105,1765
973,105,109
974,105,3099
975,105,1129
976,2041,2032
977,1584,639
978,143,2935
979,2387,1613
980,2387,1017
981,1017,828
982,1795,1019
983,2574,432
984,7,283
985,25,1929
986,25,2750
987,25,1677
988,25,23
989,2491,1430
990,1332,1019
991,3113,1613
992,2153,1828
993,861,1750
994,771,635
995,771,2927
996,771,2479
997,771,1524
998,771,1490
999,771,2727
1000,771,2905
1001,771,1111
1002,460,328
1003,460,714
1004,2590,2072
1005,675,2256
1006,675,757
1007,675,371
1008,675,1839
1009,675,2427
1010,675,172
1011,675,2419
1012,675,796
1013,2484,1420
1014,2484,2121
1015,551,1814
1016,1850,3082
1017,2984,1672
1018,2971,1103
1019,2971,411
1020,2971,2566
1021,2971,2370
1022,2971,1202
1023,2971,2794
1024,2971,1717
1025,313,3207
1026,913,850
1027,913,2373
1028,913,1153
1029,913,1061
1030,913,1744
1031,913,1339
1032,3022,1613
1033,2869,850
1034,2869,1822
1035,2869,1744
1036,818,2176
1037,818,1419
1038,818,280
1039,2282,1769
1040,3046,744
1041,1904,1142
1042,829,1358
1043,533,1427
1044,533,308
1045,533,2111
1046,2549,122
1047,1552,1430
1048,1051,1613
1049,2352,1613
1050,2352,2264
1051,2207,1454
1052,2207,2235
1053,2207,1779
1054,2207,869
1055,2207,831
1056,2594,835
1057,2092,2897
1058,2092,116
1059,2092,2299
1060,2320,826
1061,3193,2288
1062,3193,2440
1063,3193,646
1064,3193,1382
1065,3193,2552
1066,3193,1926
1067,3193,959
1068,3193,1357
1069,3193,1264
1070,3193,1652
1071,3193,1812
1072,3193,734
1073,3193,10
1074,3193,1533
1075,3193,1288
1076,3193,1022
1077,3193,3108
1078,3193,1695
1079,3193,615
1080,3193,2624
1081,3193,1300
1082,3193,2190
1083,3193,2821
1084,3193,1054
1085,3193,1368
1086,3193,255
1087,3193,1775
1088,3193,1228
1089,3193,1097
1090,3193,2790
1091,3193,512
1092,3193,565
1093,3193,1949
1094,3193,2077
1095,3193,3061
1096,3193,2794
1097,3193,2357
1098,3193,977
1099,3193,1047
1100,3193,112
1101,3193,2807
1102,3193,1208
1103,3193,1136
1104,3193,1337
1105,3193,3136
1106,3193,333
1107,3193,1664
1108,3193,2646
1109,3193,1327
1110,3193,2139
1111,3193,32
1112,3193,1205
1113,3193,482
1114,3193,2059
1115,3193,2202
1116,3193,1235
1117,3193,184
1118,3193,303
1119,3193,2613
1120,3193,942
1121,3193,1266
1122,3193,631
1123,3193,2148
1124,3193,1702
1125,3193,1143
1126,3193,808
1127,3193,2618
1128,3193,2923
1129,3193,1477
1130,931,2708
1131,240,192
1132,1465,2235
1133,2456,3175
1134,164,710
1135,164,237
1136,164,2321
1137,2740,2999
1138,2740,2324
1139,2740,2665
1140,2740,2831
1141,2740,1560
1142,2740,2891
1143,2740,2977
1144,2740,2478
1145,2740,1442
1146,2740,1682
1147,2740,1501
1148,2740,2516
1149,2740,1387
1150,2740,941
1151,2740,1330
1152,2740,938
1153,2740,2562
1154,2740,1960
1155,2740,1295
1156,1588,1497
1157,2284,1613
1158,2284,3194
1159,2284,1509
1160,2284,1425
1161,1856,140
1162,1365,2314
1163,2896,2131
1164,2896,1507
1165,2896,2370
1166,2896,3206
1167,1736,513
1168,1736,1963
1169,1736,363
1170,1736,276
1171,1736,176
1172,1736,2636
1173,1736,1747
1174,1736,426
1175,1736,1391
1176,1736,753
1177,1736,402
1178,2184,863
1179,936,2063
1180,936,3114
1181,936,1627
1182,963,656
1183,963,1009
1184,2226,883
1185,2859,2036
1186,2859,1765
1187,2283,2553
1188,2283,1929
1189,2283,1299
1190,2283,2898
1191,2283,2964
1192,2283,2585
1193,2283,547
1194,2283,745
1195,2283,456
1196,2283,850
1197,2283,1344
1198,2283,2603
1199,2283,59
1200,2283,1670
1201,2283,131
1202,2283,1835
1203,2283,1395
1204,2283,2830
1205,2283,2886
1206,2283,2212
1207,2283,806
1208,2283,2980
1209,2283,1108
1210,2283,1636
1211,2283,564
1212,2283,82
1213,2283,1421
1214,230,1746
1215,230,632
1216,408,2235
1217,2490,1776
1218,2490,2960
1219,2490,2076
1220,2490,1527
1221,2490,747
1222,2490,2481
1223,2490,2368
1224,2490,1192
1225,2490,2798
1226,2490,25
1227,2490,1286
1228,2490,2971
1229,2490,313
1230,2490,2079
1231,2490,2303
1232,2490,622
1233,2490,1865
1234,2490,2061
1235,2490,975
1236,2490,2606
1237,2490,2734
1238,2490,1849
1239,2490,602
1240,2490,1991
1241,2490,722
1242,2490,539
1243,2490,2439
1244,2490,2205
1245,2490,2112
1246,2490,2929
1247,2490,2663
1248,2490,2981
1249,2490,469
1250,2490,340
1251,2490,576
1252,2490,3148
1253,2490,884
1254,2490,2573
1255,2490,2286
1256,2490,1600
1257,2490,2528
1258,2490,1874
1259,2490,1938
1260,2490,2532
1261,2490,2976
1262,2490,2833
1263,2490,1634
1264,2490,2917
1265,2490,748
1266,2490,2660
1267,2490,3100
1268,2490,2516
1269,2490,676
1270,2490,2305
1271,2490,1090
1272,2490,2019
1273,2490,904
1274,2490,2463
1275,2490,1430
1276,2490,113
1277,2490,1596
1278,2490,3036
1279,2490,1594
1280,2490,2495
1281,2490,1393
1282,2490,85
1283,2490,194
1284,2490,2877
1285,2490,2498
1286,2490,2257
1287,2490,3040
1288,2490,1322
1289,2490,911
1290,2490,1881
1291,2490,923
1292,2490,671
1293,2490,294
1294,2490,483
1295,2490,202
1296,2490,645
1297,2490,759
1298,2490,3047
1299,2490,2419
1300,2490,360
1301,2490,2555
1302,2490,1909
1303,2490,1446
1304,2490,1270
1305,2490,2848
1306,2490,2731
1307,2400,601
1308,2400,2196
1309,2900,2534
1310,2900,1060
1311,701,2175
1312,701,2943
1313,2586,3123
1314,2201,2173
1315,1581,952
1316,1581,601
1317,1581,1806
1318,1581,335
1319,1581,2536
1320,1581,89
1321,1581,3049
1322,1581,130
1323,1581,1604
1324,1581,1848
1325,2591,2971
1326,2591,1306
1327,2962,3016
1328,731,950
1329,731,2889
1330,2140,601
1331,2140,1268
1332,2140,1658
1333,2140,2126
1334,2140,2339
1335,2140,1184
1336,2140,729
1337,2140,772
1338,2140,915
1339,2140,2901
1340,2140,432
1341,2140,1050
1342,2140,2493
1343,2140,1979
1344,2140,2159
1345,2140,344
1346,2140,961
1347,2140,1408
1348,1900,2090
1349,1900,135
1350,541,229
1351,2602,2900
1352,2602,2762
1353,422,2634
1354,422,950
1355,422,2854
1356,422,1152
1357,422,1515
1358,422,2146
1359,422,1221
1360,422,321
1361,422,216
1362,422,510
1363,422,1584
1364,422,2169
1365,422,2979
1366,422,2392
1367,422,624
1368,422,1032
1369,422,27
1370,422,2752
1371,422,662
1372,422,798
1373,422,1725
1374,422,3085
1375,422,2969
1376,422,2637
1377,422,226
1378,40,875
1379,2974,1613
1380,2860,225
1381,2860,1512
1382,2860,2322
1383,1542,783
1384,67,2597
1385,1307,2632
1386,1478,1613
1387,1701,1794
1388,1701,1614
1389,1673,1019
1390,2160,1482
1391,2160,429
1392,2160,2824
1393,2160,1798
1394,2160,1895
1395,2160,3184
1396,2160,3162
1397,2160,994
1398,2160,2328
1399,2160,2403
1400,2160,657
1401,2160,2692
1402,2160,1898
1403,650,432
1404,650,1513
1405,470,795
1406,470,637
1407,470,2175
1408,1164,1430
1409,3116,2347
1410,3116,347
1411,2285,3135
1412,406,2347
1413,3091,1307
1414,3072,787
1415,1956,2304
1416,1956,2318
1417,2131,1019
1418,1635,1613
1419,825,2208
1420,97,143
1421,2518,1019
1422,3195,1613
1423,2949,1065
1424,2949,1942
1425,2104,1688
1426,2104,1375
1427,2754,2126
1428,830,2208
1429,158,2117
1430,2936,3179
1431,3163,2311
1432,3163,1248
1433,3163,2916
1434,959,1673
1435,959,2987
1436,1127,2225
1437,1127,1794
1438,1127,2396
1439,1127,1717
1440,449,1019
1441,1242,1466
1442,1242,2221
1443,1242,1546
1444,1242,2670
1445,1242,1198
1446,1242,292
1447,1242,1130
1448,1242,1968
1449,1242,969
1450,1242,3043
1451,1242,1522
1452,1242,394
1453,1242,2687
1454,1242,626
1455,1242,822
1456,1242,947
1457,1242,1146
1458,1242,1899
1459,1242,1414
1460,1242,1749
1461,1242,1712
1462,1242,2115
1463,1242,281
1464,1242,305
1465,2729,1613
1466,2729,2192
1467,765,1748
1468,2547,2102
1469,2547,2850
1470,2547,432
1471,2547,713
1472,2547,2325
1473,2649,1019
1474,2614,2708
1475,3082,1559
1476,322,2927
1477,322,530
1478,322,2693
1479,322,1762
1480,322,1398
1481,322,606
1482,322,1424
1483,322,214
1484,322,2418
1485,322,2420
1486,322,2421
1487,322,138
1488,322,136
1489,322,2577
1490,322,3025
1491,322,244
1492,322,248
1493,3205,1644
1494,3205,1821
1495,140,648
1496,140,1889
1497,140,2434
1498,140,282
1499,140,607
1500,140,1925
1501,140,2037
1502,140,2900
1503,140,2586
1504,140,2208
1505,140,1550
1506,140,3002
1507,140,3205
1508,140,1788
1509,140,3087
1510,140,578
1511,140,724
1512,140,2995
1513,140,26
1514,140,3063
1515,140,475
1516,140,524
1517,140,3122
1518,140,432
1519,140,1765
1520,140,914
1521,140,2863
1522,140,2626
1523,140,2190
1524,140,2786
1525,140,2698
1526,140,3100
1527,140,419
1528,140,518
1529,140,944
1530,140,1754
1531,140,2998
1532,140,983
1533,140,2327
1534,140,3165
1535,140,594
1536,140,87
1537,140,1273
1538,140,1122
1539,140,452
1540,140,1572
1541,72,1258
1542,72,76
1543,277,2208
1544,1030,1912
1545,3008,1789
1546,3008,3051
1547,2956,2012
1548,1812,2012
1549,1812,3046
1550,642,1950
1551,642,2036
1552,642,694
1553,642,1864
1554,642,1002
1555,642,2483
1556,642,1901
1557,779,2205
1558,2792,1613
1559,1456,3145
1560,2944,1471
1561,2944,1009
1562,2944,208
1563,2944,1207
1564,3045,2040
1565,3045,57
1566,3045,914
1567,3045,183
1568,499,2746
1569,499,1237
1570,499,1656
1571,499,2988
1572,499,935
1573,499,867
1574,499,2971
1575,499,2974
1576,499,2668
1577,499,1288
1578,499,2321
1579,499,2354
1580,499,2620
1581,499,1775
1582,499,225
1583,1265,1943
1584,1265,1309
1585,1265,183
1586,1265,2959
1587,1689,1442
1588,2897,1411
1589,2897,949
1590,2897,2662
1591,2897,3124
1592,2897,43
1593,2897,1625
1594,2897,2757
1595,2897,3090
1596,2897,1219
1597,2897,2092
1598,2897,61
1599,2897,602
1600,2897,1606
1601,2897,177
1602,2897,1822
1603,2897,690
1604,2897,2112
1605,2897,83
1606,2897,3037
1607,2897,503
1608,2897,812
1609,2897,2512
1610,2897,2806
1611,2897,459
1612,2897,852
1613,2897,2514
1614,2897,1115
1615,2897,916
1616,2897,2427
1617,2897,2683
1618,2897,1229
1619,2897,1285
1620,2897,1553
1621,2897,443
1622,2897,917
1623,2897,1660
1624,2897,2509
1625,2897,3180
1626,2897,1246
1627,2897,2919
1628,2897,47
1629,2897,1101
1630,2897,2961
1631,2897,418
1632,2897,665
1633,2897,1922
1634,2897,1013
1635,2897,2293
1636,2897,395
1637,2897,2555
1638,2897,2363
1639,2897,2653
1640,2897,495
1641,590,1166
1642,2376,1613
1643,2376,2691
1644,161,1019
1645,135,948
1646,511,1019
1647,2876,1019
1648,2876,2812
1649,319,1430
1650,2927,1019
1651,1290,2529
1652,1290,1612
1653,1429,2175
1654,1729,1353
1655,213,1550
1656,1223,1400
1657,1223,2690
1658,1223,203
1659,1223,3164
1660,1223,389
1661,1223,1
1662,1223,2789
1663,1223,2534
1664,1223,1549
1665,1223,289
1666,1223,1023
1667,1223,2417
1668,1223,193
1669,1223,18
1670,163,1730
1671,45,1373
1672,1563,712
1673,1563,1096
1674,1563,1196
1675,1563,246
1676,1563,1142
1677,1563,436
1678,1563,3187
1679,1563,1599
1680,1563,725
1681,1563,1645
1682,856,1522
1683,856,1402
1684,2442,445
1685,2137,2300
1686,1186,1613
1687,1169,2081
1688,1169,1361
1689,886,1880
1690,886,2377
1691,886,2751
1692,886,1534
1693,886,2038
1694,2753,2333
1695,2753,1265
1696,3176,1019
1697,3176,1846
1698,584,1613
1699,584,1031
1700,2531,1746
1701,413,2353
1702,1491,1123
1703,433,1796
1704,433,1684
1705,433,1929
1706,433,673
1707,433,200
1708,433,2072
1709,433,310
1710,433,1700
1711,433,488
1712,433,1704
1713,433,5
1714,433,2130
1715,433,1181
1716,433,1180
1717,433,792
1718,433,2003
1719,433,2564
1720,433,1655
1721,433,2391
1722,433,1995
1723,433,2016
1724,433,1646
1725,433,1966
1726,433,2533
1727,433,2308
1728,433,2415
1729,433,446
1730,433,1919
1731,433,1358
1732,433,474
1733,433,2437
1734,433,1505
1735,433,2708
1736,433,2078
1737,433,2459
1738,433,1396
1739,433,1486
1740,433,545
1741,433,2561
1742,433,1879
1743,433,2875
1744,433,3013
1745,433,1006
1746,433,1528
1747,433,2906
1748,433,2914
1749,433,1922
1750,433,3128
1751,433,2465
1752,433,2419
1753,433,502
1754,433,2057
1755,433,2555
1756,433,1508
1757,433,1189
1758,433,2453
1759,1551,2394
1760,2520,2502
1761,699,1007
1762,699,2681
1763,1992,2151
1764,532,1613
1765,2752,1390
1766,2752,2597
1767,2752,2652
1768,2752,2364
